India/State /UT,Dropout Rate - Primary (1 to 5) - Boys,Dropout Rate - Primary (1 to 5) - Girls,Dropout Rate - Primary (1 to 5) - Total,Dropout Rate - Upper Primary (6-8) - Boys,Dropout Rate - Upper Primary (6-8) - Girls,Dropout Rate - Upper Primary (6-8) - Total,Dropout Rate - Secondary (9-10) - Boys,Dropout Rate - Secondary (9-10) - Girls,Dropout Rate - Secondary (9-10) - Total,Year,Sl. No.,India/State/UT,Dropout Rate - Upper Primary (6 to 8) - Boys,Dropout Rate - Upper Primary (6 to 8) - Girls,Dropout Rate - Upper Primary (6 to 8) - Total,Dropout Rate - Secondary (9 to 10) - Boys,Dropout Rate - Secondary (9 to 10) - Girls,Dropout Rate - Secondary (9 to 10) - Total
India,1.6,1.4,1.5,2.7,3.3,3,13,12.3,12.6,2020-2021,,,,,,,,
Andaman and Nicobar Islands,0.2,0.7,0.4,0.9,1,1,6,3.9,5,2020-2021,,,,,,,,
Andhra Pradesh,0,0,0,1.7,1.5,1.6,17.5,15,16.3,2020-2021,,,,,,,,
Arunachal Pradesh,9.3,9.2,9.3,4.8,8.4,6.7,11.2,12.3,11.7,2020-2021,,,,,,,,
Assam,6.8,5.2,6,10.1,7.6,8.8,19.8,20.7,20.3,2020-2021,,,,,,,,
Bihar,0,0,0,4,5.2,4.6,19.5,21.4,20.5,2020-2021,,,,,,,,
Chandigarh,0,0,0,0,0,0,0,0,0,2020-2021,,,,,,,,
Chhattisgarh,1,0.6,0.8,4.8,3.3,4.1,11.5,8.1,9.7,2020-2021,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,10.5,8.4,9.5,2020-2021,,,,,,,,
Delhi,0,0,0,0,0,0,5.9,3.7,4.8,2020-2021,,,,,,,,
Goa,0,0,0,0,0,0,12.1,5.5,9,2020-2021,,,,,,,,
Gujarat,0,0,0,4.2,5.8,5,19.4,15.9,17.9,2020-2021,,,,,,,,
Haryana,0,0,0,0.3,0.2,0.2,6.7,4.9,5.9,2020-2021,,,,,,,,
Himachal Pradesh,0,0,0,0.6,0.5,0.6,2,0.9,1.5,2020-2021,,,,,,,,
Jammu and Kashmir,3.9,4.1,4,2.8,3.2,3,5.6,6.3,6,2020-2021,,,,,,,,
Jharkhand,2.4,1.1,1.8,3.7,4,3.9,9.7,8.9,9.3,2020-2021,,,,,,,,
Karnataka,0,0,0,1.1,1.1,1.1,16.2,13,14.7,2020-2021,,,,,,,,
Kerala,0,0,0,0,0,0,6.9,4.1,5.5,2020-2021,,,,,,,,
Ladakh,7.5,5.5,6.5,2.2,0,1.1,4,5.7,4.9,2020-2021,,,,,,,,
Lakshadweep,0.5,0.4,0.5,3.2,1.9,2.6,0.4,0,0,2020-2021,,,,,,,,
Madhya Pradesh,3.2,2.9,3.1,8.6,9,8.8,10.6,9.7,10.1,2020-2021,,,,,,,,
Maharashtra,0,0,0,1.5,1.6,1.5,10.8,10.6,10.7,2020-2021,,,,,,,,
Manipur,13.5,13,13.3,6,5.2,5.6,1.4,1.2,1.3,2020-2021,,,,,,,,
Meghalaya,11.1,8.6,9.8,12,9.4,10.6,23.3,20.4,21.7,2020-2021,,,,,,,,
Mizoram,7.1,5.6,6.4,3.8,1.6,2.7,13.1,10.8,11.9,2020-2021,,,,,,,,
Nagaland,5.6,4.5,5,4.6,3.4,4,18.9,16.2,17.5,2020-2021,,,,,,,,
Odisha,0,0,0,8,6.5,7.3,29.2,25.2,27.3,2020-2021,,,,,,,,
Puducherry,3.7,3.6,3.7,2.8,2.1,2.4,8.4,4.1,6.3,2020-2021,,,,,,,,
Punjab,1.6,1,1.3,8.7,7.1,8,18.3,16,17.2,2020-2021,,,,,,,,
Rajasthan,3.8,3.3,3.6,4.4,4.2,4.3,7.8,7.5,7.7,2020-2021,,,,,,,,
Sikkim,2.9,0.5,1.8,0,0,0,14.6,9.5,11.9,2020-2021,,,,,,,,
Tamil Nadu,0,0,0,0,0,0,6.3,2.5,4.5,2020-2021,,,,,,,,
Telangana,0,0,0,3.4,2.9,3.1,14.5,12.9,13.7,2020-2021,,,,,,,,
Tripura,1.2,1,1.1,4.8,4.3,4.5,8.5,8.2,8.3,2020-2021,,,,,,,,
Uttar Pradesh,2.4,3,2.7,1.3,4.7,2.9,9.5,10,9.7,2020-2021,,,,,,,,
Uttarakhand,1,0.5,0.8,3,2.4,2.7,5.4,4.6,5,2020-2021,,,,,,,,
West Bengal,9.1,8.2,8.6,0,0,0,18.4,17.7,18,2020-2021,,,,,,,,
Tamil Nadu,7.8,7.8,7.8,7.9,8.3,8.1,17.3,15.4,16.4,2021-2022,,,,,,,,
Andaman and Nicobar Islands,0,0.1,0,0.6,1.4,1,6.4,4.6,5.5,2021-2022,,,,,,,,
Andhra Pradesh,0,0,0,0,0,0,16.9,12.3,14.7,2021-2022,,,,,,,,
Arunachal Pradesh,16.3,13.6,15,9.9,11,10.5,17.7,16.1,16.9,2021-2022,,,,,,,,
Assam,8.9,8,8.5,11.5,9.2,10.3,29,29.9,29.5,2021-2022,,,,,,,,
Bihar,11.1,10.2,10.7,17,14.6,15.8,30.3,28.8,29.5,2021-2022,,,,,,,,
Chandigarh,0,0,0,0.3,0.8,0.5,1.6,0.4,1.1,2021-2022,,,,,,,,
Chhattisgarh,5.7,5.1,5.4,7.3,5.8,6.6,21.3,15.3,18.2,2021-2022,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,0,0,0,0.5,0.8,0.7,23.5,13.3,18.8,2021-2022,,,,,,,,
Delhi,0,0,0,2.1,1.7,1.9,8.4,6,7.3,2021-2022,,,,,,,,
Goa,0,0.7,0.3,1.7,2.1,1.9,10.9,6.4,8.8,2021-2022,,,,,,,,
Gujarat,0,0,0,4.1,7.7,5.8,25,21.2,23.3,2021-2022,,,,,,,,
Haryana,0.5,2.4,1.4,2.7,4.6,3.6,16.7,13.9,15.4,2021-2022,,,,,,,,
Himachal Pradesh,1,1,1,1.8,2.2,2,8,5.3,6.7,2021-2022,,,,,,,,
Jammu and Kashmir,8.4,9.4,8.9,3.5,5,4.2,8.6,9.5,9,2021-2022,,,,,,,,
Jharkhand,11.7,11.4,11.5,14.4,14.5,14.5,25.8,25.5,25.7,2021-2022,,,,,,,,
Karnataka,0,0,0,0,0,0,17.4,12.3,14.9,2021-2022,,,,,,,,
Kerala,3.2,2.9,3.1,2.1,1.6,1.9,8.1,5.3,6.7,2021-2022,,,,,,,,
Ladakh,5.3,4.9,5.1,2.6,2.8,2.7,12.5,10.7,11.6,2021-2022,,,,,,,,
Lakshadweep,5.1,4.1,4.6,11.1,3.9,7.7,11.2,8.2,9.8,2021-2022,,,,,,,,
Madhya Pradesh,6.5,7,6.8,9.4,10.8,10.1,22,20.7,21.4,2021-2022,,,,,,,,
Maharashtra,5,5,5,5.7,6,5.8,16.3,15.7,16,2021-2022,,,,,,,,
Manipur,12.9,13,12.9,8.6,9.2,8.9,13,14.1,13.5,2021-2022,,,,,,,,
Meghalaya,14.4,12.9,13.6,18.8,14.2,16.4,32.6,25.8,28.9,2021-2022,,,,,,,,
Mizoram,15,14.6,14.8,12,8.9,10.5,25.2,22.8,24,2021-2022,,,,,,,,
Nagaland,9.7,10,9.8,10.1,7.9,9,23.1,20,21.5,2021-2022,,,,,,,,
Odisha,0,0.1,0,3.1,3.2,3.1,19.3,16.1,17.7,2021-2022,,,,,,,,
Puducherry,3.2,3.2,3.2,2.2,2.2,2.2,9.7,5.2,7.5,2021-2022,,,,,,,,
Punjab,3.2,3.1,3.1,5.6,4.9,5.3,10.5,8.8,9.7,2021-2022,,,,,,,,
Rajasthan,4.6,4.1,4.4,5.6,5.9,5.7,12.3,11.5,11.9,2021-2022,,,,,,,,
Sikkim,5.5,3.5,4.5,2.3,2.1,2.2,18.9,12.1,15.4,2021-2022,,,,,,,,
Tamil Nadu,2.5,2.2,2.3,0,0.1,0,13.9,6.4,10.3,2021-2022,,,,,,,,
Telangana,2.7,1.4,2.1,5.6,4.4,5,12.3,10.9,11.6,2021-2022,,,,,,,,
Tripura,1.7,1.2,1.4,6.8,5,5.9,18.6,17.2,17.9,2021-2022,,,,,,,,
Uttar Pradesh,18.6,19,18.8,15,17.2,16,14.9,14.4,14.7,2021-2022,,,,,,,,
Uttarakhand,7.3,7.4,7.4,5.9,5.7,5.8,9.5,7.2,8.4,2021-2022,,,,,,,,
West Bengal,8.4,7.7,8.1,3.7,3.1,3.4,9.6,7.6,8.5,2021-2022,,,,,,,,
Chandigarh,2.1,1.7,1.9,5.2,5.3,5.2,15.5,12.6,14.1,2022-2023,,,,,,,,
Andaman and Nicobar Islands,1,0.5,0.8,0.8,0,0.4,7.6,3.4,5.5,2022-2023,,,,,,,,
Andhra Pradesh,0.3,0,0.2,1.3,0.8,1.1,14.2,10.6,12.5,2022-2023,,,,,,,,
Arunachal Pradesh,5.7,5.1,5.4,7.2,6.5,6.8,20.4,18.2,19.3,2022-2023,,,,,,,,
Assam,7.1,5.2,6.2,10.3,6.1,8.2,25.2,25,25.1,2022-2023,,,,,,,,
Bihar,9,8.7,8.9,26,25.9,25.9,26.2,25.1,25.6,2022-2023,,,,,,,,
Chandigarh,0,0,0,0.9,0,0.4,4.2,1.4,2.9,2022-2023,,,,,,,,
Chhattisgarh,2,1.5,1.8,6.2,4.3,5.3,20.2,12.6,16.3,2022-2023,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,1.8,1.5,1.6,3.2,3,3.1,21.8,15.4,18.7,2022-2023,,,,,,,,
Delhi,0,0,0,0.6,0.6,0.6,11.6,9.1,10.4,2022-2023,,,,,,,,
Goa,0.8,0.9,0.8,1.2,1,1.1,10.2,5.8,8.1,2022-2023,,,,,,,,
Gujarat,0.2,0.1,0.1,3.5,4.9,4.2,23.3,18.3,21,2022-2023,,,,,,,,
Haryana,1.6,0.7,1.2,5.4,3.7,4.7,15.7,11.4,13.8,2022-2023,,,,,,,,
Himachal Pradesh,0,0,0,0.7,0.4,0.6,5.8,4,4.9,2022-2023,,,,,,,,
Jammu and Kashmir,1.9,1.3,1.6,3.2,3.3,3.2,14.1,12.6,13.4,2022-2023,,,,,,,,
Jharkhand,1.1,0.6,0.9,9.4,8.6,9,15.2,15.1,15.2,2022-2023,,,,,,,,
Karnataka,1.9,1.5,1.7,2.9,2.4,2.7,24.5,19.6,22.1,2022-2023,,,,,,,,
Kerala,0,0,0,0,0,0,4.3,2.5,3.4,2022-2023,,,,,,,,
Ladakh,4.9,3.6,4.3,7.3,4.3,5.8,23.3,16.7,19.8,2022-2023,,,,,,,,
Lakshadweep,3.1,1.4,2.3,6.3,0,3.1,3.1,2.2,2.6,2022-2023,,,,,,,,
Madhya Pradesh,1.2,0.7,1,7,6.5,6.7,19.6,15.5,17.7,2022-2023,,,,,,,,
Maharashtra,0,0,0,0.7,0.5,0.6,11,9,10.1,2022-2023,,,,,,,,
Manipur,4.5,4.4,4.5,3.9,3,3.5,15.6,15,15.3,2022-2023,,,,,,,,
Meghalaya,8.3,6.8,7.5,13.9,11.1,12.4,23.2,21.1,22,2022-2023,,,,,,,,
Mizoram,3.7,3.3,3.5,6.7,4.9,5.9,15.2,14.4,14.8,2022-2023,,,,,,,,
Nagaland,4.8,4.2,4.5,6.4,5.2,5.8,12.2,11.1,11.6,2022-2023,,,,,,,,
Odisha,0,0,0,2.2,1.7,2,14.1,11.3,12.8,2022-2023,,,,,,,,
Puducherry,1.5,0.9,1.2,1.5,1.2,1.4,10.4,5,7.8,2022-2023,,,,,,,,
Punjab,0.1,0,0.1,3,2.2,2.6,6.9,5,6,2022-2023,,,,,,,,
Rajasthan,8.1,7,7.6,7.1,6.4,6.8,12.2,9.7,11.1,2022-2023,,,,,,,,
Sikkim,3.3,1.7,2.6,5.9,4,4.9,21,17.2,19,2022-2023,,,,,,,,
Tamil Nadu,0,0,0,0,0,0,10.8,4.4,7.7,2022-2023,,,,,,,,
Telangana,0,0,0,0.1,0,0,13.3,9.5,11.4,2022-2023,,,,,,,,
Tripura,0.8,0.3,0.5,4.5,3.6,4.1,10.7,10.1,10.4,2022-2023,,,,,,,,
Uttar Pradesh,1.7,1.7,1.7,3.1,4.8,3.9,9.8,7.3,8.7,2022-2023,,,,,,,,
Uttarakhand,0.3,0,0.1,2.6,1.9,2.3,8.6,5.3,7,2022-2023,,,,,,,,
West Bengal,0,0,0,0,0,0,21.5,14.2,17.8,2022-2023,,,,,,,,
